antiga;nova;local
"""+DS2-3-1""";GCP2-3-1;
"""+DS2-3-2""";GCP2-3-2;
BCO-CAP. 200KVAR;CB-MER2;SALA MS1-3
BCO. CAPACITORES 200KVAR;CB-MER6;Sala-06 Chiller
QLF-2-4;LPP-2-4;
QLF-1-4;LPP-1-4;
QTN-1-4;EP-1-4;
QTN-2-4;EP-2-4;
TR-QTN-2-4;TR-EP-2-4;
TR-QTN-1-4;TR-EP-1-4;
QTN-DH-1-1-1;EP-DH1-1-1;Corredor Técnico
QTN-DH-1-1-2;EP-DH1-1-2;Corredor Técnico
QTN-DH-1-2-1;EP-DH1-2-1;Corredor Técnico
QTN-DH-1-2-2;EP-DH1-2-2;Corredor Técnico
TR-QTN-DH-1-1-2;TR-EP-DH-1-1-2;
TR-QTN-DH-1-2-2;TR-EP-DH-1-2-2;
TR-QTN-DH-1-1-1;TR-EP-DH-1-1-1;
TR-QTN-DH-1-2-1;TR-EP-DH-1-2-1;
QLF-DH-2-2-1;LPP-DH-2-2-1;
TR-QTN-DH-2-2-1;TR-EP-DH-2-2-1;
QTN-DH2-2-1;TR-EP-DH-2-1-1;
QTN-DH2-1-1;EP-DH2-1-1;
TR-QTN-DH-2-1-1;TR-EP-DH-2-1-1;
QLF-DH-2-1-1;LPP-DH-2-1-1;
QLF-DH-2-2-2;LPP-DH-2-2-2;
TR-QTN-DH-2-2-2;TR-EP-DH-2-2-2;
QTN-DH2-2-2;EP-DH2-2-2;
TR-QTN-DH-2-1-2;TR-EP-DH-2-1-2;
QLF-DH-2-1-2;LPP-DH-2-1-2;
QLF-1P;LPP-1P;SALAVPA
QTN-1P;EP-1P;SALAVPA
FP 1.2;FP1-2;Torre de resfriamento
FP 2.1;FP1-3;Torre de resfriamento
FP 3.2;FPC-1;Torre de resfriamento
QA-EXT-02;AP-EXT-02;
QFB-REC-02;EP-REC-T02;ETE
QF-TRAFO-IL;LPP-TR;ETE
QFB-REC-T01;EP-REC-T01;ETE
QGLF-EXT-01;LPP-EXT-01;ETE
QGL-EXT-1;LPP-EXT-1;ETE
-;TMT1;AE
-;TMT2;AE
ACC 1 A;CH-GS01;AE
ACC 1 B;CH-GS02;AE
BSRAC;BSRAC;AE
C03ADB1TQP1;TK1-MTP01;AE
C03ADB1TQP2;TK1-MTP02;AE
C03ADB1TQP3;TK1-MTP03;AE
C03ADB2TQP1;TK2-MTP01;AE
C03ADB2TQP2;TK2-MTP02;AE
C03ADB2TQP3;TK2-MTP03;AE
C03ADTQP1;DMT-1;AE
C03ADTQP2;DMT-2;AE
C03ADTQP3;DMT-3;AE
C03ADTQP4;DMT-4;AE
C03ADTQP5;DMT-5;AE
C03ADTQP6;DMT-6;AE
C04AEBC01;LB01;AE
C04AEBC01;LB02;AE
CT- 1.1;CT1-1;AE
CT- 1.2;CT1-2;AE
CT- 2.1;CT1-3;AE
CT- 3.1;CT2-1;AE
CT- 3.2;CTC-1;AE
FILTRO AQUAFILTER 1.1 1.2;WF03;AE
FILTRO AQUAFILTER 2.1;WF01;AE
FILTRO AQUAFILTER 3.2;WF02;AE
TANQUES FUTUROS ;TKFUTURE1;AE
TANQUES FUTUROS ;TKFUTURE2;AE
TANQUES FUTUROS ;TKFUTURE3;AE
TANQUES FUTUROS ;TKFUTURE4;AE
TANQUES FUTUROS ;TKFUTURE5;AE
TANQUES FUTUROS ;TKFUTURE6;AE
;CT2-2;AE
BOMBA-1;BR-ETE1;ETE
BOMBA-2;BR-ETE2;ETE
CET001TR02;TR02-ETE;ETE
TRAFO-HELIPNTO;TR03-ETE;ETE
CPO001TR01;TR01-RP;PORTARIA
QCA-PORT-01;CCP-RECP-1;SALA TÉCNICA PORTARIA
QCA-PORT-02;CCP-RECP-2;SALA TÉCNICA PORTARIA
SEC-EXT;SC-EXT1;AE
HVAC SE-01;SPLITSE-1;SALA BATERIA/SUBESTAÇÃO
RETIFICADOR CB-01;RECT-SUB;SALA SUBESTAÇÃO 88 KV
-;CT-2;SUBESTAÇÃO - AREA EXTERNA
-;PT-1;SUBESTAÇÃO - AREA EXTERNA
-;PT-2;SUBESTAÇÃO - AREA EXTERNA
CSE001TR1;TR1;SUBESTAÇÃO - AREA EXTERNA
BB RET SUB - 02;BB-RECT-SUB02;SUBESTAÇÃO - AREA EXTERNA
PGMT-01;MS1;SUBESTAÇÃO - AREA EXTERNA
CSE001TR2;TR2;SUBESTAÇÃO - AREA EXTERNA
BB RET SUB - 01;BB-RECT-SUB01;SUBESTAÇÃO - AREA EXTERNA
CSECUBTRAUX2;TRAUX-02;SUBESTAÇÃO - AREA EXTERNA
-;CT-1;SUBESTAÇÃO - AREA EXTERNA
CSECUBTRAUX1;TRAUX-01;SUBESTAÇÃO - AREA EXTERNA
PGMT-02;MS2;SUBESTAÇÃO - AREA EXTERNA
PAINEL P2 CONTROLE;P2-CONTROL;SUBESTAÇÃO
